"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","","0","","0","0","","0"
"0","Sauce Demo","0","Overview","0","1","Check success overview form","0"
"0","Sauce Demo","0","Complete","0","1","Успешный заказ","0"
"0","Sauce Demo","0","Login","0","1","Login with positive cred","0"
"0","Sauce Demo","0","Checkout","0","1","Успешный чекаут","0"
"0","Sauce Demo","0","Cart","0","1","add to cart","0"
