"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sauce Demo","0","Complete","1","0","Успешный заказ","0"
"0","Sauce Demo","0","Cart","1","0","add to cart","0"
"0","Sauce Demo","0","Overview","1","0","Check success overview form","0"
"0","Sauce Demo","0","Checkout","1","0","Успешный чекаут","0"
"0","Sauce Demo","0","Login","1","0","Login with positive cred","0"
